,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
10514,M16A4,cqy1994,13.0,601211.3,475880.4,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,205,phrylok,35.0,600892.4,476383.8
10515,SCAR-L,HYQ7777777,27.0,515348.0,498367.6,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,222,yorgan_ahn_angle,33.0,514334.8,498341.3
10516,M416,#unknown,13.0,488576.6,439134.2,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,716,dagedaputao,21.0,489226.9,439316.7
10517,S1897,TiDz333,32.0,450525.6,629614.8,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,151,WeChatGG,40.0,450524.2,629818.6
10518,AKM,ChinaMXG,11.0,609100.8,595737.1,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,129,jumper-ly,28.0,608722.4,595010.9
10519,M16A4,Minigun_Aziz,26.0,356520.2,514268.1,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,273,FlashJan,29.0,355374.2,516570.3
10520,Down and Out,HYQ7777777,27.0,511846.0,498201.3,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,222,glassware,33.0,513924.6,498424.8
10521,Down and Out,ECAdrinkingN,30.0,565152.6,383589.5,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,109,aressdor,44.0,565055.3,384377.8
10522,SCAR-L,xuewenbi,7.0,133009.9,385714.9,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1495,4674657456456,9.0,135162.7,385751.3
10523,Down and Out,DaXiongmEi-lcw,21.0,690932.9,463447.2,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,425,DaXiongmEi-lcw,21.0,690932.9,463447.2
10524,M16A4,Mephisto_z,2.0,127556.7,419875.5,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1661,JD_SSDANYO,5.0,125554.6,420009.1
10525,Grenade,LiangYinoooo,34.0,447426.1,316303.0,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,205,LiangYinoooo,34.0,447426.1,316303.0
10526,Kar98k,Mephisto_z,2.0,126579.8,416682.4,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1688,wo66diyigebufu,5.0,119468.6,421881.0
10527,Down and Out,Eric_zhang13,1.0,143648.2,370440.3,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,990,Eric_zhang13,,143648.2,370440.3
10528,Down and Out,F-F0F,1.0,115248.9,414505.7,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1602,xiaoliangliang2,6.0,115366.5,414354.3
10529,Grenade,Zombie1clown,19.0,450651.0,620458.8,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,421,PureKnighV,24.0,447676.5,618273.6
10530,Hit by Car,xuewenbi,7.0,481130.1,326175.5,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,136,ChinaBigDJB,34.0,481085.3,326276.9
10531,Down and Out,wangzhengguang3,22.0,572638.4,379093.6,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,252,HoraceZzz,30.0,572962.4,379557.0
10532,M416,BOSS-66666,9.0,437103.8,326955.8,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,762,Xw-M4A1,8.0,437899.3,328128.3
10533,Down and Out,#unknown,13.0,596738.8,474446.3,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,205,Newttt,35.0,600419.7,476142.6
10534,S1897,TiDz333,32.0,448411.7,629474.4,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,200,niDGG,36.0,448765.4,629264.7
10535,SCAR-L,YDD845120,24.0,447566.0,621542.8,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,223,TiDz333,32.0,447842.2,628142.8
10536,M416,Zombie1clown,19.0,464432.6,642015.3,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,247,YouHuogg,31.0,464453.3,642469.8
10537,M16A4,beilunji,37.0,464026.4,641334.6,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,79,zghbshiyan,48.0,465315.6,641438.3
10538,Hit by Car,ChinaDragonMrLi,1.0,141706.1,369759.0,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,989,ChinaDragonMrLi,,141706.1,369759.0
10539,AKM,F-F0F,1.0,115256.2,414468.9,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1602,STEVEN181,6.0,115201.9,414333.1
10540,Pan,WeChatGG,40.0,452185.0,629457.0,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,79,19CENT,32.0,452267.8,629421.0
10541,S686,SD18701850,36.0,625856.2,378453.6,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,156,2991660903,39.0,626019.6,379016.7
10542,M416,julierking,3.0,125650.2,405037.5,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1761,CnM-pi,4.0,128410.9,398769.9
10543,S12K,wangzhengguang3,22.0,567189.1,385291.6,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,145,DARKCROW356,41.0,567083.8,384931.7
10544,Down and Out,ALTL7777,19.0,462575.3,650297.2,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,79,kuangshakuang,48.0,462593.6,650375.4
10545,AKM,Mephisto_z,2.0,201894.9,385194.1,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,776,Davebeckham,18.0,201439.1,387850.2
10546,Down and Out,You_KING520,1.0,114962.2,414565.2,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1806,Mephisto_z,2.0,123593.2,415075.8
10547,Grenade,ChinaMXG,11.0,247898.6,422958.2,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1233,ChinaMXG,11.0,247898.6,422958.2
10548,Grenade,Mephisto_z,2.0,130556.3,417589.3,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1595,flyawaybaby,8.0,128057.8,419278.8
10549,Grenade,Newkang,15.0,393635.2,352927.5,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1094,Newkang,15.0,393635.2,352927.5
10550,Kar98k,Lychaiyoushei,2.0,126822.1,416517.8,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1717,lkhhnahha,3.0,128660.1,396916.5
10551,Down and Out,tangwang123,23.0,519907.6,501498.4,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,364,HYQ7777777,27.0,520270.1,500155.1
10552,Kar98k,Lychaiyoushei,2.0,123157.3,414620.6,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1785,julierking,3.0,125721.1,404750.1
10553,Kar98k,STEVEN181,6.0,268272.7,442594.9,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1052,cqy1994,13.0,261436.9,427562.3
10554,Micro UZI,Luoxiansnb,23.0,520821.0,500801.5,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,364,zyw7777777,27.0,520544.8,499028.8
10555,Down and Out,xiaoliangliang2,6.0,333831.1,547654.4,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,770,Zombie1clown,19.0,339773.2,554124.8
10556,M416,#unknown,11.0,625343.2,611868.9,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,307,forevershihaha,28.0,625418.6,612007.3
10557,S1897,naRi1-,42.0,430408.4,635329.9,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,82,zzhixiang,43.0,430278.6,635192.8
10558,S1897,naRi1-,42.0,429763.4,635716.9,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,110,Wangyongyi,43.0,429740.6,635329.1
10559,S1897,TiDz333,32.0,450493.6,629606.6,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,148,WWWWWWWWWWXVGBDC,40.0,450577.0,629942.8
10560,Down and Out,SD18701850,36.0,626206.0,378326.6,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,156,Gy_XiaoFei,39.0,626545.3,378190.5
10561,Kar98k,wolaile2017,12.0,171366.6,425220.9,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1153,yj990611,14.0,163172.4,426950.0
10562,S1897,TiDz333,32.0,448737.3,629418.7,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,202,Dove-YG,36.0,449056.9,629033.8
10563,M416,lkhhnahha,3.0,122814.0,392611.3,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1595,xuewenbi,7.0,128644.1,388738.8
10564,Down and Out,CnM-pi,4.0,288767.5,351129.3,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,906,LYcoolbrother,17.0,289679.7,348299.6
10565,Falling,,,,,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,999,fei144,4.0,290171.6,348297.3
10566,M416,Zombie1clown,19.0,465772.3,646771.3,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,163,beilunji,37.0,467724.6,646841.2
10567,Down and Out,lkhhnahha,3.0,107192.8,388091.1,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1307,ShaoJL,10.0,93095.34,373246.1
10568,S12K,Wangyongyi,43.0,433807.2,636908.2,ERANGEL,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,72,#unknown,47.0,433662.7,636904.1
