match_id,date,game_size,match_mode,party_size,map
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,2018-01-10T10:37:15+0000,96,tpp,1,MIRAMAR
2U4GBNA0YmkPxTMs_MMoQu76zhwcy_mavEyajlmFDxJPA7sHVjIWe_ncOia0ZuC4,2018-01-10T10:36:12+0000,29,tpp,4,ERANGEL
2U4GBNA0YmkSZoCEziHDTPbKTnCSvXGtN2X3FY3p4Y9gMPvQWvSkb4qJRUp27Nsh,2018-01-10T10:30:44+0000,88,tpp,1,ERANGEL
2U4GBNA0YmkUrIdmxQmDKbtC2YEKxzvVV3hp1txWWO95lS7_8DmcVi5qVXa1aCIZ,2018-01-10T10:18:00+0000,26,tpp,4,ERANGEL
2U4GBNA0YmkVmq-oYgvswGTRccV22fxp1JkuUhBMGMwWKzD-8h9lpuBBO5iVKAXT,2018-01-10T10:15:38+0000,27,tpp,4,MIRAMAR
2U4GBNA0YmkgJ2jUAEK0H6Ve2Ld3m_IUG7uhHGJ4im6WqGZFaRJMSSueL2nJ8c7G,2018-01-10T10:33:14+0000,28,tpp,4,MIRAMAR
2U4GBNA0YmkgLZFNsfNA8QEFGI3eBddgdPBsXKSa3xkMGq5r9dcIBd5q7YBTFoPD,2018-01-10T10:20:14+0000,96,tpp,1,ERANGEL
2U4GBNA0YmkmBtL6oDKrpz8owmg57RRZP6s7PXH2RGtus2Vy9QtPTl-fxPU0Ovgz,2018-01-10T10:12:01+0000,48,tpp,2,ERANGEL
2U4GBNA0Ymkpb1hDi-WrrDwTvWd7UMAFsruTogr8tZm-OYpx79s3UGlgWA_E5Znt,2018-01-10T10:06:21+0000,27,tpp,4,ERANGEL
2U4GBNA0YmkrRt-9xWIX_zCKpDK8_4G3FOQCmg743-xc5Bq3YiNYsQqkjcR5nVVk,2018-01-10T10:10:44+0000,28,tpp,4,ERANGEL
2U4GBNA0YmksL5NLN2JLq1xmc7FA5cBKJsL9Zv_IWc0z9laoNNKOiRg-ltZbuNwQ,2018-01-10T10:29:45+0000,46,tpp,2,ERANGEL
2U4GBNA0Yml3A-yoeqnEmiULVQfq08LVReCQaeOuRQKkizl4AbKBScP6jdOsOgO6,2018-01-10T10:52:41+0000,30,tpp,4,MIRAMAR
2U4GBNA0Yml58bM1h8hxUd_KBCjJhXTu-sRDcoTvj2tGvjyrvbhxr9ni7s_GWnO6,2018-01-10T10:29:48+0000,98,tpp,1,ERANGEL
2U4GBNA0Yml6SWTACowgIydqUgfPKkViPZQz3maPwe5oV7lp-ET1QtAM9EyF576j,2018-01-10T10:37:00+0000,27,tpp,4,ERANGEL
2U4GBNA0YmlJNlYryH_ZK6EKzujITV9JtNkh8Q-lCNG0KzueaIS_8m0p9g3cUJ3-,2018-01-10T10:32:18+0000,48,tpp,2,ERANGEL
