killed_by,killer_name,killer_placement,match_id,time,victim_name,victim_placement
M16A4,cqy1994,13.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,205,phrylok,35.0
SCAR-L,HYQ7777777,27.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,222,yorgan_ahn_angle,33.0
M416,#unknown,13.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,716,dagedaputao,21.0
S1897,TiDz333,32.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,151,WeChatGG,40.0
AKM,ChinaMXG,11.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,129,jumper-ly,28.0
M16A4,Minigun_Aziz,26.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,273,FlashJan,29.0
Down and Out,HYQ7777777,27.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,222,glassware,33.0
Down and Out,ECAdrinkingN,30.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,109,aressdor,44.0
SCAR-L,xuewenbi,7.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1495,4674657456456,9.0
Down and Out,DaXiongmEi-lcw,21.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,425,DaXiongmEi-lcw,21.0
M16A4,Mephisto_z,2.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1661,JD_SSDANYO,5.0
Grenade,LiangYinoooo,34.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,205,LiangYinoooo,34.0
Kar98k,Mephisto_z,2.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1688,wo66diyigebufu,5.0
Down and Out,Eric_zhang13,1.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,990,Eric_zhang13,
Down and Out,F-F0F,1.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,1602,xiaoliangliang2,6.0
Grenade,Zombie1clown,19.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,421,PureKnighV,24.0
Hit by Car,xuewenbi,7.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,136,ChinaBigDJB,34.0
Down and Out,wangzhengguang3,22.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,252,HoraceZzz,30.0
M416,BOSS-66666,9.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,762,Xw-M4A1,8.0
Down and Out,#unknown,13.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,205,Newttt,35.0
S1897,TiDz333,32.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,200,niDGG,36.0
SCAR-L,YDD845120,24.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,223,TiDz333,32.0
M416,Zombie1clown,19.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,247,YouHuogg,31.0
M16A4,beilunji,37.0,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,79,zghbshiyan,48.0
